Surname,Awards,Education,Dblp
Péter,0,"Péter was born in Budapest, Hungary, as Rózsa Politzer (Hungarian: Politzer Rózsa). She attended Pázmány Péter University (now Eötvös Loránd University), originally studying chemistry but later switching to mathematics. She attended lectures by Lipót Fejér and József Kürschák. While at university, she met László Kalmár; they would collaborate in future years and Kalmár encouraged her to pursue her love of mathematics.[3] After graduating in 1927, Péter could not find a permanent teaching position although she had passed her exams to qualify as a mathematics teacher. Due to the effects of the Great Depression, many university graduates could not find work and Péter began private tutoring.[4] At this time, she also began her graduate studies.",4
Jones,3,"Peyton Jones graduated from the University of Cambridge with a Bachelor of Science degree[7] in Electrical Sciences in 1979. During this time he was an undergraduate student of Trinity College, Cambridge, and subsequently went on to complete the Cambridge Diploma in Computer Science in 1980. He never did a PhD.[8][9]",252
Pham,2,"Pham’s parents were Vietnamese boat people, who spent several years in refugee camps before immigrating to the United States. Her brother, United States Marine Corps Major David Pham, was presented the Purple Heart medal during combat operations in Afghanistan.[14][15] Pham attended Windsor Forest High School in Savannah, Georgia where she was a member of the volleyball team and graduated as Salutatorian of her graduating class.[16][17] Pham earned a Bachelor of Science in Computer Science from the Georgia Institute of Technology. She also holds a Master of Science in Computer Science from both the Georgia Institute of Technology and Supélec, specializing in cryptography and human computer interaction.[18] While in university, Pham was the chair of Georgia Tech's Women in Computing,[19] director of technology at Phi Mu fraternity, researcher in the Bio-Medical Informatics and Bio-Imaging Lab,[20] and founded the southeast chapter of United for Sight.[21]",1
Pieraccini,0,He obtained a degree in electrical engineering from the University of Pisa in 1980 with a thesis on the equalization of data channels.,83
Pingali,0,Education information not found,227
Plotkin,1,"Plotkin was educated at the University of Glasgow and the University of Edinburgh, gaining his Bachelor of Science degree in 1967[8] and PhD in 1972[2] supervised by Rod Burstall.[1]",0
Pnueli,6,Education information not found,277
Poel,0,Education information not found,0
Popplewell,0,"Popplewell was born on 29 October 1920 in Bramhall, Stockport, England.[1] Her parents were Bessie (née Fazakerley) and Alfred Popplewell, a chartered accountant. She attended Sherbrook Private Girls School at Greaves Hall in Lancashire.[2] She studied the Mathematical Tripos at the University of Cambridge[3][4] where she worked with statistics in the form of punched cards.[3] She was considered an expert in the Brunsviga desk calculator.[5] She graduated with a Bachelor of Arts degree in 1942, which was converted to a Master of Arts degree in 1949 from Girton College, Cambridge.[6][7]",0
Post,0,Education information not found,0
Postel,4,Education information not found,230
Preparata,0,Education information not found,0
Press,0,Education information not found,9
Rabana,5,"Rapelang was born in Gaborone, Botswana.[5] She started her schooling in Gaborone before moving to Johannesburg and attended Roedean School.[6] Rapelang graduated with honours from the University of Cape Town in 2005 with a bachelor's degree in Business Science with a specialty in Computer Science.[7] Rapelang returned to the University of Cape Town to give a commencement speech in 2019.[8]",0
Rozenberg,3,"Rozenberg received his Master and Engineer degrees in computer science from the Warsaw University of Technology in Warsaw, Poland. He obtained a Ph.D. in mathematics from the Polish Academy of Sciences also in Warsaw in 1968.[3]
Since then he has held full-time positions at the Polish Academy of Sciences, Warsaw, Poland (assistant professor), Utrecht University, The Netherlands (assistant professor), State University of New York at Buffalo, USA (associate professor), and University of Antwerp (UIA), Belgium (professor). Since 1979 he has been a professor of computer science at Leiden University, The Netherlands and adjoint professor at the Department of Computer Science of University of Colorado at Boulder, US.",615
